,Player,Team,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS,game_id
1161,Alexandre A.,PET,0,0,0,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I73HTLRg
1162,Allal C.,ASS,0,0,0,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I73HTLRg
1163,Azouga B.,ASS,0,0,0,3:52,0,1,0,1,0,0,0,0,-5,0,0,0,0,1,1,1,0,I73HTLRg
1164,Bennis N.,ASS,0,0,0,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I73HTLRg
1165,Chaoui M.,ASS,0,3,0,10:10,0,3,0,2,0,1,0,0,-17,1,2,1,0,0,0,1,0,I73HTLRg
1166,Correia A.,PET,0,0,0,0:32,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,I73HTLRg
1167,Darlan T.,PET,0,0,0,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I73HTLRg
1168,Crawford C.,SLA,15,4,1,33:48,6,18,5,10,1,8,2,2,-11,0,4,3,1,3,0,0,0,INwJJFr9
1169,Slimane R.,USM,15,3,3,25:56,5,8,2,2,3,6,2,2,11,0,3,4,2,3,1,0,0,INwJJFr9
1170,Lahyani F.,USM,13,6,5,25:44,5,8,4,6,1,2,2,5,18,2,4,2,0,0,0,0,0,INwJJFr9
1171,Marnaoui O.,USM,13,6,3,23:23,5,13,2,7,3,6,0,0,10,1,5,0,2,1,0,0,0,INwJJFr9
1172,Obekpa C.,SLA,13,11,0,32:49,6,7,6,7,0,0,1,3,-15,4,7,3,1,3,1,0,0,INwJJFr9
1173,Majok A.,USM,12,14,1,27:25,5,9,5,8,0,1,2,3,28,3,11,3,0,2,2,0,0,INwJJFr9
1174,Nzeakor J.,SLA,12,6,1,36:09,4,12,3,11,1,1,3,5,-18,5,1,2,0,1,0,0,0,INwJJFr9
1175,Diabate M.,USM,9,2,4,23:11,4,8,3,5,1,3,0,0,7,2,0,4,1,3,0,0,0,INwJJFr9
1176,Miller D.,SLA,8,3,4,34:25,2,10,1,6,1,4,3,4,-16,0,3,3,2,6,0,0,0,INwJJFr9
1177,Dixon M.,USM,7,2,5,32:15,3,7,2,4,1,3,0,0,21,0,2,1,0,0,0,0,0,INwJJFr9
1178,Ghyaza M.,USM,4,2,0,11:23,2,4,2,4,0,0,0,0,-9,2,0,2,1,0,0,0,0,INwJJFr9
1179,Keita M.,SLA,4,2,1,6:21,2,3,2,3,0,0,0,0,0,1,1,0,0,1,0,0,0,INwJJFr9
1180,Abbassi M.,USM,2,1,0,8:27,1,2,1,1,0,1,0,0,7,1,0,2,1,1,0,0,0,INwJJFr9
1181,Mbaye S.,SLA,2,5,0,12:21,0,4,0,3,0,1,2,2,-6,1,4,1,1,2,1,0,0,INwJJFr9
1182,Kaba A.,SLA,1,0,0,7:14,0,0,0,0,0,0,1,2,-3,0,0,0,0,0,0,0,0,INwJJFr9
1183,Methnani W.,USM,1,0,0,1:45,0,0,0,0,0,0,1,2,1,0,0,0,1,1,0,0,0,INwJJFr9
1184,Mara D.,SLA,0,0,0,7:44,0,2,0,0,0,2,0,0,-14,0,0,0,0,1,0,0,0,INwJJFr9
1185,Rassil M.,USM,0,2,0,4:49,0,1,0,0,0,1,0,0,-1,0,2,0,0,2,0,0,0,INwJJFr9
1186,Sankhon M.,SLA,0,3,0,4:49,0,2,0,2,0,0,0,0,1,1,2,2,0,1,0,0,0,INwJJFr9
1187,Crawford C.,SLA,23,9,5,38:13,8,17,2,6,6,11,1,1,19,2,7,2,2,2,0,0,0,IoM5AB5e
1188,Nzeakor J.,SLA,19,8,1,36:01,8,14,7,12,1,2,2,3,24,3,5,0,1,5,1,0,0,IoM5AB5e
1189,Miller D.,SLA,14,1,8,38:13,4,9,4,6,0,3,6,6,19,1,0,1,1,4,1,0,0,IoM5AB5e
1190,Nurmamade I.,FER,14,2,1,18:42,6,9,4,4,2,5,0,0,-1,0,2,1,2,2,0,0,0,IoM5AB5e
1191,Obekpa C.,SLA,13,12,4,31:21,3,5,0,2,3,3,4,6,13,1,11,0,3,3,4,0,0,IoM5AB5e
1192,Onwuasor R.,FER,13,4,3,28:32,5,15,2,9,3,6,0,0,-25,2,2,0,3,2,0,2,0,IoM5AB5e
1193,Munguambe A.,FER,12,0,2,24:07,5,10,5,6,0,4,2,3,-6,0,0,1,1,1,0,0,0,IoM5AB5e
1194,Kennedy J.,FER,9,12,5,36:31,4,13,3,7,1,6,0,0,-15,4,8,2,3,2,0,1,0,IoM5AB5e
1195,Perry W.,FER,9,0,5,30:08,3,13,1,4,2,9,1,1,-8,0,0,3,0,4,0,1,0,IoM5AB5e
1196,Houana E.,FER,7,4,3,17:56,3,7,2,3,1,4,0,0,-12,2,2,2,2,1,0,0,0,IoM5AB5e
1197,Chinyelu R.,FER,6,5,0,13:47,3,6,3,6,0,0,0,0,0,3,2,2,0,0,0,2,0,IoM5AB5e
1198,Keita M.,SLA,4,2,0,10:11,2,3,2,3,0,0,0,0,-1,1,1,2,0,3,1,0,0,IoM5AB5e
1199,Orizu P.,FER,4,2,0,11:42,2,5,2,5,0,0,0,0,-4,1,1,1,0,0,0,1,0,IoM5AB5e
1200,Mbaye S.,SLA,3,1,2,13:38,1,1,0,0,1,1,0,2,-3,0,1,2,0,0,0,0,0,IoM5AB5e
1201,Mara D.,SLA,2,0,0,4:31,1,1,1,1,0,0,0,0,-1,0,0,1,0,1,0,0,0,IoM5AB5e
1202,Baptista A.,FER,0,0,0,3:19,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,IoM5AB5e
1203,Camara A.,SLA,0,0,0,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IoM5AB5e
1204,Kaba A.,SLA,0,0,0,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IoM5AB5e
1205,Keita M.,SLA,0,0,0,1:47,0,1,0,0,0,1,0,0,-3,0,0,0,0,0,0,0,0,IoM5AB5e
1206,Malale H.,FER,0,0,0,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IoM5AB5e
1207,Novela E.,FER,0,1,0,3:19,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,IoM5AB5e
1208,Novela O.,FER,0,0,0,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IoM5AB5e
1209,Sankhon M.,SLA,0,1,1,1:47,0,0,0,0,0,0,0,0,-3,0,1,0,0,0,0,0,0,IoM5AB5e
1210,Sidibe D.,SLA,0,0,0,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IoM5AB5e
1211,Ubisse H.,FER,0,1,2,11:57,0,2,0,2,0,0,0,0,-7,1,0,2,0,1,0,0,0,IoM5AB5e
1212,Almeida J.,FAP,23,1,1,25:55,8,17,1,5,7,12,0,2,19,1,0,2,4,3,0,0,0,IoryQj5r
1213,Kasasa B.,ESP,14,0,1,28:00,5,16,2,9,3,7,1,1,-1,0,0,4,2,1,0,1,0,IoryQj5r
1214,Morman D.,FAP,13,4,2,16:25,5,12,4,9,1,3,2,2,20,0,4,1,1,1,0,1,0,IoryQj5r
1215,Fula R.,ESP,12,9,3,31:34,5,11,3,5,2,6,0,0,-13,3,6,2,1,2,1,0,0,IoryQj5r
1216,Eyaga B.,FAP,9,7,2,23:54,1,5,1,2,0,3,7,8,22,2,5,2,2,1,3,0,0,IoryQj5r
1217,Tsangue C.,FAP,7,6,2,13:44,2,5,2,3,0,2,3,3,18,1,5,1,0,1,0,0,0,IoryQj5r
1218,Bobo Mel G.,ESP,6,4,3,24:35,2,10,2,9,0,1,2,2,2,2,2,4,2,4,1,1,0,IoryQj5r
1219,Essome P.,FAP,6,4,2,24:34,3,7,3,6,0,1,0,2,-3,1,3,2,3,1,1,1,0,IoryQj5r
1220,Kapongo D.,ESP,6,3,1,13:50,2,7,2,3,0,4,2,2,-8,0,3,2,3,3,0,2,0,IoryQj5r
1221,Tametong E.,FAP,6,2,0,16:15,1,6,0,2,1,4,3,4,3,1,1,1,1,1,0,1,0,IoryQj5r
1222,Liale C.,FAP,5,2,0,13:08,2,6,1,2,1,4,0,0,-8,0,2,3,1,4,0,0,0,IoryQj5r
1223,Mpaka C.,ESP,5,11,1,15:47,2,8,2,8,0,0,1,2,-12,6,5,4,0,2,0,0,0,IoryQj5r
1224,Byers T.,FAP,4,8,0,15:16,1,2,1,2,0,0,2,2,-7,4,4,2,0,2,2,0,0,IoryQj5r
1225,Isungu E.,ESP,4,4,0,14:00,2,3,2,3,0,0,0,0,-12,3,1,3,0,1,1,0,0,IoryQj5r
1226,Wangmene A.,FAP,4,6,1,15:22,1,2,1,2,0,0,2,7,13,4,2,0,0,2,0,0,0,IoryQj5r
1227,Ilunga B.,ESP,3,3,0,6:36,1,4,0,1,1,3,0,0,-11,1,2,1,0,1,0,1,0,IoryQj5r
1228,Ambanza N.,ESP,2,5,4,18:07,0,6,0,3,0,3,2,4,-1,1,4,1,0,3,1,2,0,IoryQj5r
1229,Mandiangu J.,ESP,2,0,0,4:10,1,1,1,1,0,0,0,0,-2,0,0,0,0,0,0,0,0,IoryQj5r
1230,Mwamba A.,ESP,2,4,2,21:47,1,7,1,4,0,3,0,0,-17,1,3,3,1,5,0,0,0,IoryQj5r
1231,Okarafor E.,ESP,2,6,1,16:05,0,1,0,1,0,0,2,4,-5,1,5,3,2,2,0,1,0,IoryQj5r
1232,Tshimbau J.,ESP,2,1,0,5:29,1,2,1,1,0,1,0,0,-5,0,1,0,0,1,0,0,0,IoryQj5r
1233,Akumenzoh E.,FAP,0,8,1,22:55,0,8,0,8,0,0,0,0,4,1,7,2,2,3,1,1,0,IoryQj5r
1234,Kamka-Chomke U.,FAP,0,0,0,6:12,0,3,0,1,0,2,0,0,4,0,0,0,0,0,1,0,0,IoryQj5r
1235,Ndjonga Y.,FAP,0,2,1,4:01,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,IoryQj5r
1236,Suke H.,ESP,0,0,0,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IoryQj5r
1237,Tankoua P.,FAP,0,0,1,2:19,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,IoryQj5r
1238,Stoglin T.,ASS,25,4,2,30:46,7,18,5,9,2,9,9,10,-21,1,3,2,0,2,0,0,0,IoUtVvd8
1239,James R.,ASS,22,12,1,33:12,9,14,6,6,3,8,1,2,-11,3,9,0,1,4,0,0,0,IoUtVvd8
1240,Richards R.,PET,19,8,2,20:50,5,11,2,7,3,4,6,10,25,2,6,2,2,0,0,0,0,IoUtVvd8
1241,Cipriano O.,PET,17,2,2,16:38,6,10,1,2,5,8,0,0,23,1,1,1,0,0,0,0,0,IoUtVvd8
1242,El Ghazi A.,ASS,14,2,1,23:07,4,7,4,7,0,0,6,7,-10,1,1,5,0,2,0,1,0,IoUtVvd8
1243,Morais C.,PET,13,6,1,28:51,5,12,3,5,2,7,1,1,16,2,4,1,2,3,0,2,0,IoUtVvd8
1244,Pedro J.,PET,11,10,1,23:32,5,6,5,6,0,0,1,2,21,4,6,2,0,0,1,1,0,IoUtVvd8
1245,Joaquim V.,PET,10,3,2,19:11,4,7,2,3,2,4,0,0,0,0,3,1,0,1,0,0,0,IoUtVvd8
1246,Scott A.,PET,8,3,7,23:32,3,11,1,4,2,7,0,0,13,1,2,2,2,3,1,0,0,IoUtVvd8
1247,Goncalves G.,PET,7,6,5,25:54,3,8,3,6,0,2,1,2,14,4,2,2,1,1,0,0,0,IoUtVvd8
1248,Najah A.,ASS,7,4,2,24:06,3,9,3,8,0,1,1,2,-17,2,2,4,0,2,2,1,0,IoUtVvd8
1249,Dundao C.,PET,6,2,2,15:54,2,7,2,5,0,2,2,2,0,1,1,0,4,1,0,0,0,IoUtVvd8
1250,Chaoui M.,ASS,4,5,1,11:00,1,2,0,0,1,2,1,2,9,1,4,3,2,1,0,0,0,IoUtVvd8
1251,Azouga B.,ASS,3,4,0,11:42,1,1,0,0,1,1,0,0,-15,0,4,1,0,1,1,0,0,IoUtVvd8
1252,Jefferson J.,ASS,3,1,1,13:55,1,2,1,2,0,0,1,2,6,0,1,3,0,2,0,0,0,IoUtVvd8
1253,Joao A.,PET,3,0,0,0:51,1,1,1,1,0,0,1,3,1,0,0,0,0,0,0,0,0,IoUtVvd8
1254,Paulo L.,PET,3,0,0,15:43,1,3,1,3,0,0,1,3,-4,0,0,5,0,2,0,0,0,IoUtVvd8
1255,Allal C.,ASS,0,1,0,2:22,0,0,0,0,0,0,0,0,-2,0,1,0,0,0,0,0,0,IoUtVvd8
1256,Antonio J.,PET,0,0,0,0:51,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,IoUtVvd8
1257,Belhaddar M.,ASS,0,0,1,2:22,0,1,0,0,0,1,0,0,-2,0,0,1,0,0,0,0,0,IoUtVvd8
1258,Domingos G.,PET,0,1,1,8:13,0,2,0,1,0,1,0,0,-15,1,0,1,0,1,0,0,0,IoUtVvd8
1259,El Mahsini Y.,ASS,0,3,5,35:28,0,3,0,3,0,0,0,0,-17,0,3,0,2,4,0,0,0,IoUtVvd8
1260,El Masbahi Z.,ASS,0,0,1,5:11,0,3,0,1,0,2,0,0,-9,0,0,0,0,1,0,0,0,IoUtVvd8
1261,Kourodu S.,ASS,0,0,0,6:49,0,3,0,3,0,0,0,0,-6,0,0,0,0,0,0,0,0,IoUtVvd8
1262,Goncalves L.,PET,28,5,4,31:35,10,13,5,5,5,8,3,5,-11,2,3,3,0,5,0,0,0,IsQZBfd7
1263,Dixon M.,USM,21,0,6,34:57,7,10,6,6,1,4,6,7,3,0,0,3,1,2,1,0,0,IsQZBfd7
1264,Lahyani F.,USM,21,10,2,31:34,6,9,5,7,1,2,8,12,7,1,9,3,1,3,0,0,0,IsQZBfd7
1265,Moreira Y.,PET,18,7,0,31:05,6,8,6,8,0,0,6,12,-9,1,6,5,1,8,1,0,0,IsQZBfd7
1266,Majok A.,USM,14,4,1,18:49,5,8,4,7,1,1,2,2,11,1,3,4,0,2,1,0,0,IsQZBfd7
1267,Morais C.,PET,12,4,2,30:57,3,11,0,2,3,9,3,6,-15,0,4,4,0,4,0,0,0,IsQZBfd7
1268,Marnaoui O.,USM,9,1,1,20:09,2,5,1,2,1,3,4,4,9,0,1,3,2,1,0,0,0,IsQZBfd7
1269,Coles J. J.,USM,6,1,4,24:56,1,10,0,3,1,7,3,4,9,0,1,2,3,2,0,0,0,IsQZBfd7
1270,Diabate M.,USM,4,3,3,21:08,2,9,2,4,0,5,0,0,7,0,3,2,1,4,0,0,0,IsQZBfd7
1271,Ghyaza M.,USM,4,2,1,11:38,1,2,1,2,0,0,2,2,-4,1,1,3,1,1,0,0,0,IsQZBfd7
1272,Slimane R.,USM,4,8,1,30:06,2,6,2,4,0,2,0,1,11,2,6,4,2,3,1,0,0,IsQZBfd7
1273,Cipriano O.,PET,3,3,1,8:28,1,5,0,1,1,4,0,0,1,2,1,0,0,1,0,0,0,IsQZBfd7
1274,Domingos G.,PET,3,2,0,11:48,0,1,0,0,0,1,3,3,3,1,1,1,0,1,0,0,0,IsQZBfd7
1275,Gakou A.,PET,3,4,3,24:06,1,4,0,1,1,3,0,0,-2,0,4,5,0,1,0,0,0,IsQZBfd7
1276,Paulo L.,PET,2,2,0,9:21,1,1,1,1,0,0,0,0,-3,0,2,2,1,1,1,0,0,IsQZBfd7
1277,Pedro J.,PET,2,3,0,11:11,1,3,1,3,0,0,0,0,1,0,3,5,0,4,1,0,0,IsQZBfd7
1278,Dundao C.,PET,1,3,2,28:12,0,5,0,3,0,2,1,2,-14,0,3,0,2,1,0,0,0,IsQZBfd7
1279,Mahemli H.,USM,0,0,1,6:43,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,IsQZBfd7
1280,Matthews E.,PET,0,1,0,13:17,0,1,0,0,0,1,0,0,-6,0,1,1,0,1,0,0,0,IsQZBfd7
1281,Calvo A.,FER,26,9,4,37:36,8,17,4,8,4,9,6,6,19,2,7,2,0,4,1,0,0,jaSlTIQK
1282,Faye M.,DOU,21,4,5,25:49,8,13,7,9,1,4,4,5,-8,0,4,4,1,3,0,0,0,jaSlTIQK
1283,Kabongo M.,FER,20,3,12,37:19,6,15,2,5,4,10,4,4,18,2,1,2,2,5,0,0,0,jaSlTIQK
1284,Holland D.,FER,19,5,3,38:25,5,13,2,8,3,5,6,7,15,0,5,2,3,5,0,0,0,jaSlTIQK
1285,Diallo C.,DOU,15,7,3,25:08,5,10,1,3,4,7,1,2,-1,2,5,1,0,1,0,1,0,jaSlTIQK
1286,Adjehi B.,FER,13,11,2,36:12,4,9,4,9,0,0,5,6,15,6,5,0,0,2,3,1,0,jaSlTIQK
1287,Badji L.,DOU,13,6,0,26:50,6,11,5,7,1,4,0,2,-10,3,3,4,2,3,0,1,0,jaSlTIQK
1288,Chimonzo B.,FER,8,1,0,18:31,3,7,1,1,2,6,0,0,9,0,1,1,0,0,0,0,0,jaSlTIQK
1289,Gueye S.,DOU,6,1,0,14:52,2,9,1,6,1,3,1,2,-13,1,0,1,0,0,0,1,0,jaSlTIQK
1290,Mbaye M.,DOU,6,2,0,16:29,2,3,0,0,2,3,0,0,1,0,2,4,1,2,1,0,0,jaSlTIQK
1291,Cokley C.,DOU,5,5,4,21:53,2,7,1,2,1,5,0,0,-14,1,4,0,1,0,0,0,0,jaSlTIQK
1292,Adams L.,DOU,4,1,0,7:18,2,6,2,5,0,1,0,0,0,1,0,0,0,0,0,0,0,jaSlTIQK
1293,Attia H.,DOU,2,6,0,11:58,1,6,1,6,0,0,0,1,13,3,3,5,1,1,1,0,0,jaSlTIQK
1294,Muchate C.,FER,2,8,1,16:22,1,2,1,2,0,0,0,0,-4,1,7,2,0,1,0,1,0,jaSlTIQK
1295,Sadi M.,DOU,2,1,1,8:42,1,4,1,2,0,2,0,0,-2,1,0,1,1,0,0,0,0,jaSlTIQK
1296,Biosse Y.,FER,0,0,0,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jaSlTIQK
1297,Caifaz M.,FER,0,0,0,2:24,0,1,0,0,0,1,0,0,-5,0,0,0,0,0,0,0,0,jaSlTIQK
1298,Chire I.,FER,0,3,0,11:36,0,2,0,2,0,0,0,0,4,0,3,2,0,0,0,0,0,jaSlTIQK
1299,Dinis S.,FER,0,0,0,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jaSlTIQK
1300,Kamara A. C.,DOU,0,5,1,25:20,0,2,0,2,0,0,0,0,-25,3,2,3,2,3,0,0,0,jaSlTIQK
1301,Martins H. N. M.,FER,0,0,0,1:35,0,1,0,0,0,1,0,0,-1,0,0,1,0,0,0,0,0,jaSlTIQK
1302,N'doye C. T.,DOU,0,0,0,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jaSlTIQK
1303,Ndour A.,DOU,0,1,4,15:41,0,5,0,2,0,3,0,2,-11,0,1,0,1,1,0,1,0,jaSlTIQK
1304,Uamusse M.,FER,0,0,0,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jaSlTIQK
1305,Dundao C.,PET,16,3,4,31:53,4,9,1,3,3,6,5,6,19,1,2,1,1,2,0,1,0,jJ2pSbhQ
1306,Almeida J.,FAP,13,5,1,22:47,5,10,4,6,1,4,2,2,-6,0,5,3,2,5,0,0,0,jJ2pSbhQ
1307,Eyaga B.,FAP,12,5,1,26:01,6,13,6,9,0,4,0,0,-3,3,2,2,0,1,1,0,0,jJ2pSbhQ
1308,Cipriano O.,PET,11,0,0,12:49,4,7,1,1,3,6,0,0,10,0,0,1,1,1,0,0,0,jJ2pSbhQ
1309,Joaquim V.,PET,9,3,0,10:00,3,5,0,1,3,4,0,0,-1,1,2,1,0,2,1,0,0,jJ2pSbhQ
1310,Morais C.,PET,9,5,3,32:10,3,11,2,5,1,6,2,2,15,0,5,2,3,2,0,0,0,jJ2pSbhQ
1311,Moreira Y.,PET,8,8,0,14:28,4,9,4,9,0,0,0,0,13,1,7,2,1,0,2,1,0,jJ2pSbhQ
1312,Pedro J.,PET,8,8,0,25:32,2,3,2,3,0,0,4,5,0,5,3,2,0,4,1,0,0,jJ2pSbhQ
1313,Tsangue C.,FAP,7,1,2,26:47,3,10,3,6,0,4,1,2,-11,0,1,3,0,4,0,0,0,jJ2pSbhQ
1314,Gakou A.,PET,6,8,0,23:43,3,7,3,4,0,3,0,0,14,5,3,0,1,1,0,1,0,jJ2pSbhQ
1315,Morman D.,FAP,6,3,1,11:27,3,7,3,5,0,2,0,0,-7,2,1,1,1,2,0,0,0,jJ2pSbhQ
1316,Wangmene A.,FAP,6,1,1,9:04,2,2,1,1,1,1,1,2,1,1,0,1,1,1,0,0,0,jJ2pSbhQ
1317,Kamka-Chomke U.,FAP,5,7,0,17:01,2,5,1,4,1,1,0,0,0,1,6,1,0,1,1,0,0,jJ2pSbhQ
1318,Ndjonga Y.,FAP,5,1,0,10:08,2,3,1,1,1,2,0,0,8,1,0,1,1,0,0,0,0,jJ2pSbhQ
1319,Byers T.,FAP,2,8,0,23:16,1,6,1,6,0,0,0,0,-19,4,4,3,2,2,2,2,0,jJ2pSbhQ
1320,Domingos G.,PET,2,1,2,8:59,0,6,0,0,0,6,2,2,-4,0,1,1,0,0,0,0,0,jJ2pSbhQ
1321,Goncalves G.,PET,2,4,7,26:27,1,5,1,2,0,3,0,0,6,1,3,1,0,2,0,0,0,jJ2pSbhQ
1322,Liale C.,FAP,2,1,2,19:27,1,5,1,3,0,2,0,0,-9,1,0,1,1,1,0,0,0,jJ2pSbhQ
1323,Paulo L.,PET,2,0,0,5:25,1,4,1,4,0,0,0,0,-2,0,0,0,0,0,0,1,0,jJ2pSbhQ
1324,Tankoua P.,FAP,2,6,0,6:35,0,4,0,4,0,0,2,2,-4,4,2,0,1,0,0,1,0,jJ2pSbhQ
1325,Akumenzoh E.,FAP,0,3,0,17:04,0,5,0,4,0,1,0,0,-14,1,2,1,0,1,0,0,0,jJ2pSbhQ
1326,Correia A.,PET,0,1,0,8:34,0,0,0,0,0,0,0,0,-5,0,1,1,1,1,0,0,0,jJ2pSbhQ
1327,Darlan T.,PET,0,0,0,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jJ2pSbhQ
1328,Tametong E.,FAP,0,3,2,10:23,0,3,0,1,0,2,0,0,-1,1,2,0,0,1,0,1,0,jJ2pSbhQ
1329,Harouna A.,FAP,21,7,1,35:16,5,15,3,10,2,5,9,13,-27,2,5,5,0,5,0,2,0,jkcwAuaf
1330,Hodge W.,ZAM,18,3,6,28:20,7,15,5,9,2,6,2,3,21,2,1,1,1,0,0,0,0,jkcwAuaf
1331,Abdalatif M.,ZAM,14,5,3,23:14,5,7,4,5,1,2,3,5,11,1,4,0,0,0,0,0,0,jkcwAuaf
1332,Diabate M.,ZAM,12,1,5,14:08,4,9,0,3,4,6,0,0,20,0,1,1,2,2,0,0,0,jkcwAuaf
1333,Fakuade M.,ZAM,12,8,2,19:36,5,10,4,6,1,4,1,2,21,2,6,2,0,2,0,1,0,jkcwAuaf
1334,Elonu C.,ZAM,7,8,3,27:26,3,5,3,5,0,0,1,2,21,4,4,2,1,1,0,0,0,jkcwAuaf
1335,Hezekiah M.,FAP,7,8,1,24:41,3,6,3,4,0,2,1,2,-30,3,5,2,0,1,3,0,0,jkcwAuaf
1336,Salem I.,ZAM,7,1,0,18:26,3,8,2,3,1,5,0,0,4,1,0,1,0,1,0,0,0,jkcwAuaf
1337,Tsangue C.,FAP,7,4,1,20:33,3,8,3,5,0,3,1,3,-6,0,4,2,1,2,0,1,0,jkcwAuaf
1338,Nkene M.,FAP,6,8,1,23:07,2,5,2,5,0,0,2,2,-13,3,5,1,1,0,0,0,0,jkcwAuaf
1339,Akumenzoh E.,FAP,4,2,0,13:53,2,6,2,6,0,0,0,0,-11,1,1,4,1,1,1,0,0,jkcwAuaf
1340,Elmekawi M.,ZAM,4,8,0,10:24,2,7,2,6,0,1,0,3,-3,3,5,0,0,2,1,2,0,jkcwAuaf
1341,Thomas M.,FAP,4,4,3,25:12,2,13,2,8,0,5,0,0,-16,1,3,0,1,2,0,1,0,jkcwAuaf
1342,Hesham O.,ZAM,3,1,1,23:34,0,2,0,0,0,2,3,4,26,0,1,4,0,2,0,0,0,jkcwAuaf
1343,Meshal M.,ZAM,3,1,0,2:35,1,1,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,jkcwAuaf
1344,Kome A.,FAP,2,3,2,15:59,1,4,1,3,0,1,0,0,-10,1,2,2,1,2,0,0,0,jkcwAuaf
1345,Mahmoud A.,ZAM,2,3,5,19:59,1,4,1,4,0,0,0,0,19,1,2,3,2,2,3,1,0,jkcwAuaf
1346,Ngaransou Y.,FAP,2,5,0,14:45,1,2,1,2,0,0,0,0,-3,0,5,2,0,0,0,0,0,jkcwAuaf
1347,Bapoo A.,FAP,0,0,0,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jkcwAuaf
1348,Essome P.,FAP,0,0,0,3:34,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,jkcwAuaf
1349,Hatem A.,ZAM,0,0,1,9:44,0,3,0,0,0,3,0,0,5,0,0,2,0,0,0,0,0,jkcwAuaf
1350,Liale C.,FAP,0,1,0,11:38,0,5,0,2,0,3,0,0,-8,0,1,0,0,0,0,0,0,jkcwAuaf
1351,Tametong E.,FAP,0,0,1,11:23,0,3,0,1,0,2,0,0,-20,0,0,1,0,1,0,0,0,jkcwAuaf
1352,Yasser A.,ZAM,0,0,2,2:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jkcwAuaf
1353,Omot N.,ALA,21,3,2,25:05,6,10,5,8,1,2,8,8,27,0,3,1,1,3,1,0,0,KdyAHnTh
1354,Perry W.,FER,18,6,5,31:24,6,13,5,8,1,5,5,6,-22,1,5,3,0,3,0,1,0,KdyAHnTh
1355,Sidibe B.,FER,17,7,0,30:55,6,12,6,12,0,0,5,8,-17,5,2,4,2,1,0,2,0,KdyAHnTh
1356,Oraby O.,ALA,15,6,0,21:49,6,6,6,6,0,0,3,3,15,0,6,4,1,2,2,0,0,KdyAHnTh
1357,Nurmamade I.,FER,12,1,2,24:20,4,9,3,7,1,2,3,4,-10,0,1,0,0,0,0,0,0,KdyAHnTh
1358,Thompson M.,ALA,11,3,6,24:13,2,6,0,0,2,6,5,5,17,0,3,4,0,1,0,0,0,KdyAHnTh
1359,Webster C.,ALA,11,5,7,22:48,4,9,3,6,1,3,2,2,8,1,4,1,1,2,0,0,0,KdyAHnTh
1360,Young N.,FER,10,6,1,25:09,4,10,4,10,0,0,2,2,-12,4,2,3,1,3,0,0,0,KdyAHnTh
1361,El Gendy A.,ALA,8,1,0,16:36,3,7,1,2,2,5,0,0,-8,0,1,3,0,3,0,0,0,KdyAHnTh
1362,Zahran A.,ALA,8,1,3,19:25,4,7,4,6,0,1,0,1,10,0,1,4,3,0,0,0,0,KdyAHnTh
1363,Tarek M.,ALA,7,2,4,20:50,2,3,0,0,2,3,1,1,-3,0,2,1,0,2,0,0,0,KdyAHnTh
1364,Gueye M.,FER,6,6,0,24:38,2,12,2,7,0,5,2,2,-16,2,4,2,1,0,0,1,0,KdyAHnTh
1365,Camara D.,ALA,5,1,1,8:50,1,3,0,0,1,3,2,2,17,0,1,1,0,0,0,0,0,KdyAHnTh
1366,Munguambe A.,FER,5,6,1,17:48,2,9,2,9,0,0,1,2,2,2,4,3,0,1,0,0,0,KdyAHnTh
