game_id,date_time,game_end,team,q1,q2,q3,q4,total,category,total (bins)
1128,14/03/2021 15:25:00,FT,Ulinzi,,,,,72,AWAY,71.42857143
1130,13/03/2021 15:00:00,FT,Umoja,,,,,40,AWAY,35.71428571
1131,07/03/2021 16:05:00,FT,KCA-U,,,,,66,AWAY,64.28571429
1132,07/03/2021 14:15:00,FT,NairobiCityThunder,,,,,80,AWAY,78.57142857
1133,06/03/2021 16:15:00,FT,Umoja,,,,,49,AWAY,42.85714286
1134,06/03/2021 14:15:00,FT,Emyba,,,,,62,AWAY,57.14285714
1135,06/03/2021 12:15:00,FT,Lakeside,,,,,52,AWAY,50
1136,12/10/2019 16:35:00,FT,USIU,,,,,34,AWAY,28.57142857
1137,12/10/2019 14:55:00,FT,KCA-U,,,,,47,AWAY,42.85714286
1138,12/10/2019 11:20:00,FT,WorldHope,,,,,56,AWAY,50
1139,28/09/2019 16:42:00,FT,KPA,,,,,68,AWAY,64.28571429
1140,28/09/2019 14:50:00,FT,Blades,,,,,63,AWAY,57.14285714
1141,01/09/2019 17:06:00,FT,Thunder,,,,,89,AWAY,85.71428571
1142,18/08/2019 14:30:00,FT,Eldonets,,,,,75,AWAY,71.42857143
1143,17/08/2019 15:15:00,FT,Thunder,,,,,56,AWAY,50
1144,17/08/2019 13:15:00,FT,Eldonets,,,,,50,AWAY,50
1145,10/08/2019 17:30:00,FT,Umoja,,,,,41,AWAY,35.71428571
1146,04/08/2019 16:15:00,FT,KPA,,,,,83,AWAY,78.57142857
1147,03/08/2019 17:00:00,FT,KPA,,,,,75,AWAY,71.42857143
1148,03/08/2019 15:15:00,FT,WorldHope,,,,,63,AWAY,57.14285714
1149,21/07/2019 16:00:00,FT,Emyba,,,,,57,AWAY,50
1150,21/07/2019 14:30:00,FT,KCA-U,,,,,42,AWAY,35.71428571
1151,20/07/2019 17:15:00,FT,KCA-U,,,,,47,AWAY,42.85714286
1152,20/07/2019 14:30:00,FT,WorldHope,,,,,59,AWAY,57.14285714
1153,14/07/2019 16:00:00,FT,USIU,,,,,37,AWAY,35.71428571
1154,14/07/2019 14:30:00,FT,KPA,,,,,68,AWAY,64.28571429
1155,13/07/2019 18:00:00,FT,KPA,,,,,81,AWAY,78.57142857
1156,07/07/2019 16:00:00,FT,Eldonets,,,,,63,AWAY,57.14285714
1157,07/07/2019 14:30:00,FT,KCA-U,,,,,61,AWAY,57.14285714
1158,06/07/2019 16:00:00,FT,EquityBank,,,,,70,AWAY,64.28571429
1159,06/07/2019 14:30:00,FT,Blades,,,,,68,AWAY,64.28571429
1160,06/07/2019 13:30:00,FT,Eldonets,,,,,55,AWAY,50
1161,30/06/2019 17:45:00,FT,Umoja,,,,,58,AWAY,57.14285714
1162,29/06/2019 16:00:00,FT,Emyba,,,,,66,AWAY,64.28571429
1163,29/06/2019 15:15:00,FT,Umoja,,,,,72,AWAY,71.42857143
1164,29/06/2019 15:00:00,FT,Umoja,,,,,4,AWAY,0
1165,23/06/2019 17:00:00,FT,KCA-U,,,,,56,AWAY,50
1166,22/06/2019 16:45:00,FT,Emyba,,,,,48,AWAY,42.85714286
1167,22/06/2019 14:45:00,FT,EquityBank,,,,,79,AWAY,78.57142857
1168,08/06/2019 16:00:00,FT,USIU,,,,,66,AWAY,64.28571429
1169,02/06/2019 16:45:00,FT,USIU,,,,,49,AWAY,42.85714286
1170,26/05/2019 15:45:00,FT,Emyba,,,,,75,AWAY,71.42857143
1012,13/11/2022 16:00:00,OT,ANU,11,22,11,17,64,HOME,57.14285714
1039,24/07/2022 16:55:00,OT,Ulinzi,9,9,21,17,68,HOME,64.28571429
1059,25/06/2022 14:15:00,OT,EquityBank,14,9,13,19,61,HOME,57.14285714
1070,13/02/2022 16:20:00,OT,Ulinzi,7,19,24,29,94,HOME,92.85714286
1119,10/10/2021 16:45:00,OT,Terror,17,13,19,12,69,HOME,64.28571429
1012,13/11/2022 16:00:00,OT,NairobiCityThunder,13,14,6,28,74,AWAY,71.42857143
1039,24/07/2022 16:55:00,OT,Blades,7,19,21,9,64,AWAY,57.14285714
1059,25/06/2022 14:15:00,OT,NairobiCityThunder,17,12,21,5,64,AWAY,57.14285714
1070,13/02/2022 16:20:00,OT,Blades,19,21,21,18,86,AWAY,85.71428571
1119,10/10/2021 16:45:00,OT,KCA-U,18,12,17,14,67,AWAY,64.28571429
1000,05/03/2023 16:45:00,FT,Blades,8,15,15,15,53,HOME,50
1001,12/02/2023 17:30:00,FT,ZetechUniversity,13,18,8,14,53,HOME,50
1002,05/02/2023 17:35:00,FT,EquityBank,22,15,30,23,90,HOME,85.71428571
1003,05/02/2023 15:30:00,FT,Blades,13,10,15,21,59,HOME,57.14285714
1004,29/01/2023 16:30:00,FT,ZetechUniversity,12,2,10,8,32,HOME,28.57142857
1005,22/01/2023 16:10:00,FT,Blades,17,12,18,8,55,HOME,50
1006,21/01/2023 16:00:00,FT,Blades,8,14,9,16,47,HOME,42.85714286
1007,11/12/2022 16:40:00,FT,NairobiCityThunder,8,13,19,15,55,HOME,50
1008,11/12/2022 14:40:00,FT,Umoja,17,14,10,19,60,HOME,57.14285714
1009,27/11/2022 17:00:00,FT,ZetechUniversity,14,13,12,20,59,HOME,57.14285714
