,game_id,avg,pts_diff
191,2TjcltR2,4.6,5
192,UPkpw93G,1.2,2
193,ERxlvd3e,6.6,19
194,GQNDw32s,4.2,5
195,WYmCa7gN,6.8,12
196,vycXuBJc,5.6,20
197,tbW5Ls52,4.6,3
198,UZ2mcZPf,3.6,12
199,61ZutIYr,5.8,25
200,O8l80mvH,5.6,2
201,vNDTmVze,6.0,16
202,6o3cBcse,3.8,9
203,0OCEPdl2,3.0,1
204,0jotvklA,4.6,15
205,lxeeGUWS,3.0,11
206,p8tRA8fj,3.6,4
207,MXDAQxZe,7.4,15
208,Sf4gCwSl,4.4,18
209,zD3qbFAl,5.4,3
210,4hmEpbQR,4.0,14
211,ManxuVY3,8.2,41
212,josNBlup,3.0,1
213,pIk41TOA,4.8,22
214,CMrEaSV6,3.0,11
215,YVqA08G0,6.8,16
216,nHh9ovBL,4.8,18
217,Mo3Ynkj1,3.4,3
218,reGPXO4j,4.8,6
219,M9auaeer,4.8,12
220,hb96RIJk,4.4,12
221,8C6xcKxi,6.8,10
222,GSMC3ymR,4.4,22
223,2g0a2994,3.4,5
224,0WEPlBLl,4.0,6
225,xOU1Lexm,3.4,3
226,8Qg5nKeF,5.2,6
227,E7A2Sb4q,7.6,10
228,jNn7K5Dj,2.8,4
229,K0qtqSCN,2.4,12
230,hlEf2kDo,2.6,3
231,EeEIctp7,2.8,6
232,buhkL0LT,3.6,6
233,Ikrwp5PD,6.2,21
234,rHZhr95c,2.8,12
235,neiyQRkT,3.8,19
236,f3RxRHEP,5.2,8
237,t0we2YyP,3.8,7
238,4Qzkqkji,3.8,15
239,dCD4MyNt,8.2,25
240,EHynrqfQ,5.4,1
241,vVmTRmLG,5.6,2
242,KAx0EMM6,5.8,5
243,0vkPST5A,3.0,1
244,WhnsqPvK,7.4,27
245,hxU3Lobp,3.0,7
246,84hXQ7zN,3.8,5
247,4nfeLLnD,4.6,15
248,08MbGrhf,4.6,11
249,EXy4DtxD,3.4,17
250,tKwdF270,6.6,9
251,j9gn0tkl,6.4,12
252,MHNfHOxl,4.4,6
253,IJTxvdXh,4.8,2
254,SfOjI4Ns,4.8,4
255,jZWOMpFQ,4.2,1
256,Ewenz5Yu,6.6,11
257,8AsKNQaK,4.2,21
258,AVasK1tK,4.4,2
259,t4kYaN7D,3.6,12
260,UJrGO6pE,2.0,8
261,2DjU03h7,3.2,16
262,Kl1P1qw1,3.4,7
263,8EcL2PNf,5.6,24
264,EibH358l,3.0,7
265,vTUYvxIn,2.8,10
266,z1aD4ogr,5.2,24
267,f7Hp9RpR,4.0,6
268,GGItA7VK,1.4,7
269,x6kr1MZs,4.6,3
270,MgJxBmGE,2.8,2
271,6oyjmpO7,8.2,5
272,8jFYBT08,6.8,16
273,SfxnlQ81,4.8,12
274,xIJtFL2U,6.6,33
275,tOmyXVQi,4.6,15
276,2XlXXBBo,5.2,8
277,rcmHps9R,3.0,5
278,4fd2hHWu,1.2,6
279,vya5uDN9,3.6,4
280,hKdgrFwi,4.0,20
281,6N0csZhc,3.4,17
282,0p01tg83,5.4,9
283,lb41QsCN,7.6,10
284,A75cRNdH,3.2,10
285,EuClTqS4,4.6,21
286,SrGhS3sB,3.0,1
287,KICpUPCb,5.2,6
288,tSDtV5ch,5.0,17
289,0GdqWorn,6.4,16
290,MPcuXRSu,5.6,28
291,p4MZBrcU,8.6,39
292,W0IVCOsO,7.6,12
293,lxTQD4SH,9.6,2
294,AoUMEpDB,5.8,25
295,tCPIFQc5,5.2,18
296,2LQEG6ra,3.8,7
297,KdyAHnTh,4.0,18
298,MBI6ISDn,4.0,16
299,SlJ2J8bt,5.8,19
300,QuXzOljP,8.6,5
301,lOmha5DO,2.6,3
302,AXll0obI,3.4,7
303,GAkp1RrC,6.0,20
304,27ot27T5,3.2,16
305,Krdy3mEa,6.0,16
306,thcX3Tbg,5.6,14
307,YRcT49qm,4.4,10
308,fyaP5kUt,4.2,7
309,lfMdAVLP,5.2,4
310,ziIhBB6J,2.8,10
311,MmUAnSTI,6.0,16
312,rcV6m8EC,3.6,6
313,j9VxHEY4,4.2,7
314,UaUtGYmB,5.0,5
315,ddemSDVm,3.6,2
316,2ZeqTgGs,5.0,1
317,KMl0t3m6,2.4,12
318,runL8oLq,8.0,40
319,Qw2keG0c,3.2,6
320,vysko173,3.2,2
321,0jVcquxG,6.0,22
322,hKrsmNxi,3.6,16
323,I3RUqiBT,4.4,10
324,WAsonshc,5.8,7
325,vDSQpXeN,1.8,1
326,IRugpLM9,6.0,16
327,lnI0vVYj,8.2,9
328,CAjrbNlI,9.0,7
329,dGTBvdQJ,3.2,8
330,6T5zcwsT,3.4,11
331,nNm3hckp,5.0,1
332,hdQH5iP4,2.8,4
333,EwDDD2l5,7.0,9
334,dUW87Dfh,5.2,4
335,hGYKfIA6,4.0,10
336,27X48gun,7.0,15
337,KGD9ErZb,6.2,11
338,EPZGebe0,3.6,14
339,Sx7WcJRM,4.6,23
340,l8Xksat7,3.0,15
341,z7SFwGuQ,2.4,10
342,YJiva3ZB,3.0,9
343,jXT09ZPu,5.2,10
344,vZNoYg3m,3.8,5
345,KC3OaucA,8.2,27
346,Qghz0qK5,3.8,19
347,bcFF11Sc,5.4,1
348,tQE5FOJh,3.2,6
349,tl5rZZms,2.6,5
350,CnMgWXXa,6.4,2
351,6qroruR0,6.4,12
352,nJ3jkWvO,7.0,1
353,YF7SbaCG,7.2,18
354,Q92fljfU,2.6,9
355,n3gW0P4a,6.0,8
356,xlEJ0Ls4,4.6,7
357,YeNkXDIg,3.2,12
358,80zUFCmJ,4.6,1
359,OlK0G44n,6.4,10
360,U9yQGhYC,3.6,18
361,4v4R15kg,5.0,13
362,ShqsqLBf,2.4,2
363,IqanjCPH,5.0,21
364,pbLdHpkt,4.6,17
365,vg0rihAB,7.2,18
366,jXFB2sDi,5.4,7
367,W0pCdvtf,2.4,10
368,Ict8cKQm,6.0,22
369,dUAwhYf5,4.4,10
370,CtH73Nco,4.8,6
371,jy0N2ozm,1.4,7
372,WnaaaBoU,3.0,13
373,rR6ZhEua,5.6,20
374,bJvwp1dl,2.8,2
375,fZumcs4O,5.4,27
376,pnLQHRkL,6.6,7
377,EqUKF8RN,8.4,2
378,vkrYwsAG,3.8,19
379,jLPxtyYu,5.2,6
380,KbjLmULn,6.8,20
381,SUttq6zI,8.2,3
382,lvrxpnLB,5.8,11
383,fHrYpS55,5.0,7
384,AP4kgjbP,6.2,13
385,tEvUo8ja,4.6,11
386,CYjHlA6t,6.0,4
387,bkkPnlyg,6.6,3
388,fHM2Vn6I,3.4,13
389,KvSwyixs,6.8,24
390,4STkYlMa,2.2,3
391,WEVszBim,9.2,4
392,M3OfX8y6,5.0,5
393,0fNbWSjC,4.6,9
394,QyVoZU6g,3.2,4
395,8KQ6U6LO,4.6,23
396,AZmW1RoI,2.4,10
397,OIkO3mH5,3.0,3
398,byCTQDJf,1.8,5
399,WrkS27WB,4.2,7
400,nc2SKoi4,8.0,8
401,863OLRyb,6.4,24
402,tvOqAUxn,4.0,18
403,6NfjwLKc,3.6,10
404,A9xxhjIg,7.4,5
